"Close/Last","Open"
85.65,84.65
88.71,85.67
84.44,88.42
85.09,84.52
86.07,85
85.57,86.19
85.38,85.59
86.32,85.37
85.45,86.36
86.67,85.28
89.28,87.3
86.75,89.15
87.38,87.28
87.38,87.38
88.28,87.12
87.74,88.21
87.18,87.82
86.49,87.33
88.07,86.57
88.91,87.66
89.09,88.85
88.5,88.93
87.88,88.5
86.26,87.87
85.93,86.39
85.56,85.98
85.79,85.7
86.77,85.69
85.89,86.77
86.73,86.13
87.2,86.88
87.93,87.45
89.51,87.94
90.13,89.69
88.66,90.02
88.61,88.6
88.61,88.61
90.98,88.62
90.87,91
90.8,91.15
91.82,90.41
91.82,91.82
93.12,91.78
92.92,92.91
93.09,92.86
93.19,93.21
93.15,93.32
93.1,93.15
93.82,93.19
93.56,93.87
94.14,93.74
93.28,94.2
94.24,93.4
95.49,94.19
95.56,95.19
95.56,95.56
96.24,95.65
95.23,96.76
95.95,95.5
95.88,95.95
96.44,96.04
97.57,96.46
97.94,97.32
97.49,97.96
97.77,97.42
96.17,97.72
96.64,96.13
96.62,96.64
95.83,96.86
95.72,95.92
97.03,95.79
97.51,96.96
97.01,97.59
97.31,97.17
95.86,97.34
95.86,95.86
96.66,95.5
94.46,96.75
92.84,94.72
93.13,92.96
93.11,93.23
92.63,91.92
92.76,92.72
92.05,92.89
90.68,91.76
90.12,90.4
90.82,90.23
90.43,90.83
91.56,90.42
91.95,91.42
92.06,91.83
92.54,91.94
92.52,92.62
93.03,92.51
93.45,93.15
93.74,93.26
92.16,93.8
92.96,92.09
92.45,93.4
93.71,92.33
94.81,93.72
96.34,94.75
96.58,96.18
97.23,96.68
97.23,97.23
97.07,97.36
97.19,97
94.45,96.93
93.26,94.5
92.7,93.36
93.36,93.02
94.2,93.49
94.64,93.96
93.51,94.56
91.29,93.49
88.71,87.42
88.72,87.42
86.68,88.8
87.73,86.39
88.01,88.37
88.76,87.96
89.18,89.28
91.43,89.6
93.64,91.58
93,93.24
94.5,92.7
93.46,94.42
91.03,93.08
93.99,91
95.61,93.99
96.16,95.58
95.62,95.81
96.62,95.56
96.39,96.6
96.04,96.16
95.17,95.76
94.21,94.93
94.3,94.13
95.16,94.34
96.02,95.15
96.71,95.93
96.16,96.7
94.28,95.9
94.25,94.18
94.15,94.37
94.15,94.15
95.01,93.62
93.13,95.05
93.61,92.89
91.97,93.64
93.45,91.73
93.31,93.35
93.74,93.86
94.76,93.7
96.03,94.72
95.77,96.09
95.38,95.76
95.88,94.89
96.69,95.77
97.85,96.64
97.77,97.85
98.44,97.93
98.24,98.59
95.4,98.02
93.69,94.96
95.18,93.85
95.32,95.02
95.5,95.17
97.05,95.52
96.56,96.81
97.99,96.58
99.6,98.06
101.24,99.61
101.24,101.24
103.22,101.1
103.14,103.39
103.53,103
106.52,104.57
104.91,106.15
105.95,104.58
106.32,106.05
106,106.44
106.48,105.78
108.04,106.56
108.05,108.12
106.91,108.34
107.23,107
105.39,107.36
105.49,105.37
104.7,105.56
104.55,104.61
103.08,104.52
105.03,103.15
107.89,105.26
106.94,107.8
106.56,106.84
105.3,106.48
104.37,105.68
103.4,104.18
105.97,103.87
106.11,105.84
106.83,106.15
106.85,106.54
107.33,106.98
107.46,107.18
107.1,107.78
104.96,106.93
103.85,105.18
105.03,103.86
106.42,105.22
105.92,106.91
109.01,106.14
110.1,110.05
108.8,109.53
107.65,108.17
107.65,107.65
108.54,106.8
107.23,108.44
108.37,107.59
110.53,108.52
109.52,110.28
107.39,108.92
107.56,107.36
108.6,107.77
108.21,108.64
106.59,107.5
105.42,106.22
108.07,105.53
106.39,108.22
104.67,106.37
103.59,104.89
103.13,103.44
102.66,103.41
103.03,102.3
102.87,102.91
102.33,102.46
102.04,102.31
104.1,101.62
103.31,103.82
103.84,102.92
103.03,103.45
103.49,103.16
101.61,103.49
103.01,101.46
102.02,102.94
102.41,101.37
101.21,102.19
102.29,100.88
100.67,102.13
100.81,100.72
99.22,100.63
97.8,99.06
96.86,98.12
97.11,97.1
97.85,97.19
98.68,97.88
98.2,98.54
96.77,96.61
96.38,96.62
94.61,96.32
94.62,94.52
93.37,94.47
94.8,93.74
94.2,94.91
94.6,94.36
95.14,94.45
93.04,95
93.88,93.07
93.76,93.5
93.84,93.89
93.03,93.78
93.34,93
93.33,93.7
95.44,93.73
94.84,95.29
94.09,94.15
93.68,94.21
92.3,93.5
92.3,92.3
92.72,92.29
93.82,92.71
96.04,93.86
97.2,96.9
97.38,97.33
97.65,97.38
97.34,97.66
98.51,97.25
97.44,98.65
97.5,97.55
96.6,97.58
97.48,96.55
97.22,97.3
97.8,97.3
98.77,97.69
99.32,98.7
98.91,99.2
99.22,98.62
99.22,99.22
99.55,99.2
100.32,99.63
99.29,100.15
98.42,99.25
98.42,98.42
95.44,98.5
95.44,95.47
